x,y
-4.901,-1.03784
-4.9,-1.009
-4.899,-0.980181
-4.898,-0.951383
-4.897,-0.922606
-4.896,-0.893851
-4.895,-0.865117
-4.894,-0.836405
-4.893,-0.807714
-4.892,-0.779044
-4.891,-0.750396
-4.89,-0.721769
-4.889,-0.693163
-4.888,-0.664579
-4.887,-0.636016
-4.886,-0.607474
-4.885,-0.578954
-4.884,-0.550455
-4.883,-0.521977
-4.882,-0.493521
-4.881,-0.465086
-4.88,-0.436672
-4.879,-0.408279
-4.878,-0.379908
-4.877,-0.351558
-4.876,-0.323229
-4.875,-0.294922
-4.874,-0.266636
-4.873,-0.238371
-4.872,-0.210127
-4.871,-0.181904
-4.87,-0.153703
-4.869,-0.125523
-4.868,-0.097364
-4.867,-0.0692264
-4.866,-0.0411099
-4.865,-0.0130146
-4.864,0.0150595
-4.863,0.0431124
-4.862,0.0711441
-4.861,0.0991546
-4.86,0.127144
-4.859,0.155112
-4.858,0.183059
-4.857,0.210985
-4.856,0.23889
-4.855,0.266774
-4.854,0.294636
-4.853,0.322478
-4.852,0.350298
-4.851,0.378097
-4.85,0.405875
-4.849,0.433632
-4.848,0.461368
-4.847,0.489083
-4.846,0.516776
-4.845,0.544449
-4.844,0.5721
-4.843,0.599731
-4.842,0.62734
-4.841,0.654929
-4.84,0.682496
-4.839,0.710042
-4.838,0.737568
-4.837,0.765072
-4.836,0.792555
-4.835,0.820017
-4.834,0.847458
-4.833,0.874878
-4.832,0.902278
-4.831,0.929656
-4.83,0.957013
-4.829,0.984349
-4.828,1.01166
-4.827,1.03896
-4.826,1.06623
-4.825,1.09348
-4.824,1.12072
-4.823,1.14793
-4.822,1.17512
-4.821,1.20228
-4.82,1.22943
-4.819,1.25656
-4.818,1.28366
-4.817,1.31075
-4.816,1.33781
-4.815,1.36486
-4.814,1.39188
-4.813,1.41888
-4.812,1.44586
-4.811,1.47282
-4.81,1.49976
-4.809,1.52668
-4.808,1.55357
-4.807,1.58045
-4.806,1.60731
-4.805,1.63414
-4.804,1.66095
-4.803,1.68775
-4.802,1.71452
-4.801,1.74127
-4.8,1.768
-4.799,1.79471
-4.798,1.8214
-4.797,1.84807
-4.796,1.87471
-4.795,1.90134
-4.794,1.92795
-4.793,1.95453
-4.792,1.98109
-4.791,2.00764
-4.79,2.03416
-4.789,2.06066
-4.788,2.08714
-4.787,2.1136
-4.786,2.14004
-4.785,2.16646
-4.784,2.19286
-4.783,2.21924
-4.782,2.2456
-4.781,2.27193
-4.78,2.29825
-4.779,2.32454
-4.778,2.35082
-4.777,2.37707
-4.776,2.4033
-4.775,2.42952
-4.774,2.45571
-4.773,2.48188
-4.772,2.50803
-4.771,2.53416
-4.77,2.56027
-4.769,2.58636
-4.768,2.61242
-4.767,2.63847
-4.766,2.6645
-4.765,2.6905
-4.764,2.71649
-4.763,2.74245
-4.762,2.7684
-4.761,2.79432
-4.76,2.82022
-4.759,2.84611
-4.758,2.87197
-4.757,2.89781
-4.756,2.92363
-4.755,2.94943
-4.754,2.97521
-4.753,3.00097
-4.752,3.02671
-4.751,3.05243
-4.75,3.07813
-4.749,3.1038
-4.748,3.12946
-4.747,3.1551
-4.746,3.18071
-4.745,3.20631
-4.744,3.23188
-4.743,3.25744
-4.742,3.28297
-4.741,3.30848
-4.74,3.33398
-4.739,3.35945
-4.738,3.3849
-4.737,3.41033
-4.736,3.43574
-4.735,3.46113
-4.734,3.48651
-4.733,3.51186
-4.732,3.53718
-4.731,3.56249
-4.73,3.58778
-4.729,3.61305
-4.728,3.6383
-4.727,3.66353
-4.726,3.68873
-4.725,3.71392
-4.724,3.73909
-4.723,3.76423
-4.722,3.78936
-4.721,3.81447
-4.72,3.83955
-4.719,3.86462
-4.718,3.88966
-4.717,3.91469
-4.716,3.93969
-4.715,3.96467
-4.714,3.98964
-4.713,4.01458
-4.712,4.0395
-4.711,4.06441
-4.71,4.08929
-4.709,4.11415
-4.708,4.13899
-4.707,4.16381
-4.706,4.18862
-4.705,4.2134
-4.704,4.23816
-4.703,4.2629
-4.702,4.28762
-4.701,4.31232
-4.7,4.337
-4.699,4.36166
-4.698,4.3863
-4.697,4.41092
-4.696,4.43552
-4.695,4.4601
-4.694,4.48466
-4.693,4.5092
-4.692,4.53371
-4.691,4.55821
-4.69,4.58269
-4.689,4.60715
-4.688,4.63159
-4.687,4.65601
-4.686,4.6804
-4.685,4.70478
-4.684,4.72914
-4.683,4.75348
-4.682,4.77779
-4.681,4.80209
-4.68,4.82637
-4.679,4.85063
-4.678,4.87486
-4.677,4.89908
-4.676,4.92328
-4.675,4.94745
-4.674,4.97161
-4.673,4.99575
-4.672,5.01986
-4.671,5.04396
-4.67,5.06804
-4.669,5.09209
-4.668,5.11613
-4.667,5.14015
-4.666,5.16414
-4.665,5.18812
-4.664,5.21208
-4.663,5.23601
-4.662,5.25993
-4.661,5.28383
-4.66,5.3077
-4.659,5.33156
-4.658,5.3554
-4.657,5.37921
-4.656,5.40301
-4.655,5.42679
-4.654,5.45055
-4.653,5.47428
-4.652,5.498
-4.651,5.5217
-4.65,5.54538
-4.649,5.56903
-4.648,5.59267
-4.647,5.61629
-4.646,5.63989
-4.645,5.66346
-4.644,5.68702
-4.643,5.71056
-4.642,5.73408
-4.641,5.75758
-4.64,5.78106
-4.639,5.80451
-4.638,5.82795
-4.637,5.85137
-4.636,5.87477
-4.635,5.89815
-4.634,5.92151
-4.633,5.94485
-4.632,5.96817
-4.631,5.99147
-4.63,6.01475
-4.629,6.03801
-4.628,6.06125
-4.627,6.08448
-4.626,6.10768
-4.625,6.13086
-4.624,6.15402
-4.623,6.17716
-4.622,6.20029
-4.621,6.22339
-4.62,6.24647
-4.619,6.26954
-4.618,6.29258
-4.617,6.3156
-4.616,6.33861
-4.615,6.36159
-4.614,6.38456
-4.613,6.4075
-4.612,6.43043
-4.611,6.45333
-4.61,6.47622
-4.609,6.49909
-4.608,6.52193
-4.607,6.54476
-4.606,6.56757
-4.605,6.59035
-4.604,6.61312
-4.603,6.63587
-4.602,6.6586
-4.601,6.68131
-4.6,6.704
-4.599,6.72667
-4.598,6.74932
-4.597,6.77195
-4.596,6.79456
-4.595,6.81716
-4.594,6.83973
-4.593,6.86228
-4.592,6.88481
-4.591,6.90733
-4.59,6.92982
-4.589,6.9523
-4.588,6.97475
-4.587,6.99719
-4.586,7.0196
-4.585,7.042
-4.584,7.06438
-4.583,7.08673
-4.582,7.10907
-4.581,7.13139
-4.58,7.15369
-4.579,7.17597
-4.578,7.19823
-4.577,7.22047
-4.576,7.24269
-4.575,7.26489
-4.574,7.28707
-4.573,7.30924
-4.572,7.33138
-4.571,7.3535
-4.57,7.37561
-4.569,7.39769
-4.568,7.41976
-4.567,7.4418
-4.566,7.46383
-4.565,7.48584
-4.564,7.50783
-4.563,7.52979
-4.562,7.55174
-4.561,7.57367
-4.56,7.59558
-4.559,7.61748
-4.558,7.63935
-4.557,7.6612
-4.556,7.68303
-4.555,7.70485
-4.554,7.72664
-4.553,7.74842
-4.552,7.77017
-4.551,7.79191
-4.55,7.81363
-4.549,7.83532
-4.548,7.857
-4.547,7.87866
-4.546,7.9003
-4.545,7.92192
-4.544,7.94352
-4.543,7.9651
-4.542,7.98667
-4.541,8.00821
-4.54,8.02974
-4.539,8.05124
-4.538,8.07273
-4.537,8.09419
-4.536,8.11564
-4.535,8.13707
-4.534,8.15848
-4.533,8.17987
-4.532,8.20124
-4.531,8.22259
-4.53,8.24392
-4.529,8.26524
-4.528,8.28653
-4.527,8.3078
-4.526,8.32906
-4.525,8.3503
-4.524,8.37151
-4.523,8.39271
-4.522,8.41389
-4.521,8.43505
-4.52,8.45619
-4.519,8.47731
-4.518,8.49842
-4.517,8.5195
-4.516,8.54056
-4.515,8.56161
-4.514,8.58264
-4.513,8.60364
-4.512,8.62463
-4.511,8.6456
-4.51,8.66655
-4.509,8.68748
-4.508,8.70839
-4.507,8.72928
-4.506,8.75016
-4.505,8.77101
-4.504,8.79185
-4.503,8.81266
-4.502,8.83346
-4.501,8.85424
-4.5,8.875
-4.499,8.89574
-4.498,8.91646
-4.497,8.93716
-4.496,8.95785
-4.495,8.97851
-4.494,8.99916
-4.493,9.01978
-4.492,9.04039
-4.491,9.06098
-4.49,9.08155
-4.489,9.1021
-4.488,9.12263
-4.487,9.14315
-4.486,9.16364
-4.485,9.18412
-4.484,9.20457
-4.483,9.22501
-4.482,9.24543
-4.481,9.26583
-4.48,9.28621
-4.479,9.30657
-4.478,9.32691
-4.477,9.34724
-4.476,9.36754
-4.475,9.38783
-4.474,9.4081
-4.473,9.42834
-4.472,9.44857
-4.471,9.46878
-4.47,9.48898
-4.469,9.50915
-4.468,9.5293
-4.467,9.54944
-4.466,9.56956
-4.465,9.58966
-4.464,9.60973
-4.463,9.6298
-4.462,9.64984
-4.461,9.66986
-4.46,9.68986
-4.459,9.70985
-4.458,9.72982
-4.457,9.74976
-4.456,9.76969
-4.455,9.7896
-4.454,9.8095
-4.453,9.82937
-4.452,9.84922
-4.451,9.86906
-4.45,9.88888
-4.449,9.90867
-4.448,9.92845
-4.447,9.94821
-4.446,9.96796
-4.445,9.98768
-4.444,10.0074
-4.443,10.0271
-4.442,10.0467
-4.441,10.0664
-4.44,10.086
-4.439,10.1056
-4.438,10.1252
-4.437,10.1448
-4.436,10.1644
-4.435,10.1839
-4.434,10.2034
-4.433,10.2229
-4.432,10.2424
-4.431,10.2618
-4.43,10.2813
-4.429,10.3007
-4.428,10.3201
-4.427,10.3395
-4.426,10.3589
-4.425,10.3782
-4.424,10.3976
-4.423,10.4169
-4.422,10.4362
-4.421,10.4555
-4.42,10.4747
-4.419,10.494
-4.418,10.5132
-4.417,10.5324
-4.416,10.5516
-4.415,10.5707
-4.414,10.5899
-4.413,10.609
-4.412,10.6281
-4.411,10.6472
-4.41,10.6663
-4.409,10.6853
-4.408,10.7044
-4.407,10.7234
-4.406,10.7424
-4.405,10.7614
-4.404,10.7803
-4.403,10.7993
-4.402,10.8182
-4.401,10.8371
-4.4,10.856
-4.399,10.8749
-4.398,10.8937
-4.397,10.9126
-4.396,10.9314
-4.395,10.9502
-4.394,10.9689
-4.393,10.9877
-4.392,11.0065
-4.391,11.0252
-4.39,11.0439
-4.389,11.0626
-4.388,11.0812
-4.387,11.0999
-4.386,11.1185
-4.385,11.1371
-4.384,11.1557
-4.383,11.1743
-4.382,11.1929
-4.381,11.2114
-4.38,11.2299
-4.379,11.2484
-4.378,11.2669
-4.377,11.2854
-4.376,11.3038
-4.375,11.3223
-4.374,11.3407
-4.373,11.3591
-4.372,11.3774
-4.371,11.3958
-4.37,11.4141
-4.369,11.4325
-4.368,11.4508
-4.367,11.4691
-4.366,11.4873
-4.365,11.5056
-4.364,11.5238
-4.363,11.542
-4.362,11.5602
-4.361,11.5784
-4.36,11.5965
-4.359,11.6147
-4.358,11.6328
-4.357,11.6509
-4.356,11.669
-4.355,11.6871
-4.354,11.7051
-4.353,11.7231
-4.352,11.7412
-4.351,11.7591
-4.35,11.7771
-4.349,11.7951
-4.348,11.813
-4.347,11.8309
-4.346,11.8489
-4.345,11.8667
-4.344,11.8846
-4.343,11.9025
-4.342,11.9203
-4.341,11.9381
-4.34,11.9559
-4.339,11.9737
-4.338,11.9914
-4.337,12.0092
-4.336,12.0269
-4.335,12.0446
-4.334,12.0623
-4.333,12.08
-4.332,12.0976
-4.331,12.1152
-4.33,12.1329
-4.329,12.1505
-4.328,12.168
-4.327,12.1856
-4.326,12.2031
-4.325,12.2207
-4.324,12.2382
-4.323,12.2557
-4.322,12.2731
-4.321,12.2906
-4.32,12.308
-4.319,12.3255
-4.318,12.3429
-4.317,12.3602
-4.316,12.3776
-4.315,12.3949
-4.314,12.4123
-4.313,12.4296
-4.312,12.4469
-4.311,12.4642
-4.31,12.4814
-4.309,12.4986
-4.308,12.5159
-4.307,12.5331
-4.306,12.5503
-4.305,12.5674
-4.304,12.5846
-4.303,12.6017
-4.302,12.6188
-4.301,12.6359
-4.3,12.653
-4.299,12.6701
-4.298,12.6871
-4.297,12.7041
-4.296,12.7211
-4.295,12.7381
-4.294,12.7551
-4.293,12.7721
-4.292,12.789
-4.291,12.8059
-4.29,12.8228
-4.289,12.8397
-4.288,12.8566
-4.287,12.8734
-4.286,12.8902
-4.285,12.9071
-4.284,12.9238
-4.283,12.9406
-4.282,12.9574
-4.281,12.9741
-4.28,12.9908
-4.279,13.0076
-4.278,13.0242
-4.277,13.0409
-4.276,13.0576
-4.275,13.0742
-4.274,13.0908
-4.273,13.1074
-4.272,13.124
-4.271,13.1406
-4.27,13.1571
-4.269,13.1736
-4.268,13.1902
-4.267,13.2067
-4.266,13.2231
-4.265,13.2396
-4.264,13.256
-4.263,13.2725
-4.262,13.2889
-4.261,13.3053
-4.26,13.3216
-4.259,13.338
-4.258,13.3543
-4.257,13.3706
-4.256,13.3869
-4.255,13.4032
-4.254,13.4195
-4.253,13.4357
-4.252,13.452
-4.251,13.4682
-4.25,13.4844
-4.249,13.5006
-4.248,13.5167
-4.247,13.5329
-4.246,13.549
-4.245,13.5651
-4.244,13.5812
-4.243,13.5973
-4.242,13.6133
-4.241,13.6294
-4.24,13.6454
-4.239,13.6614
-4.238,13.6774
-4.237,13.6933
-4.236,13.7093
-4.235,13.7252
-4.234,13.7411
-4.233,13.757
-4.232,13.7729
-4.231,13.7888
-4.23,13.8046
-4.229,13.8205
-4.228,13.8363
-4.227,13.8521
-4.226,13.8678
-4.225,13.8836
-4.224,13.8994
-4.223,13.9151
-4.222,13.9308
-4.221,13.9465
-4.22,13.9622
-4.219,13.9778
-4.218,13.9934
-4.217,14.0091
-4.216,14.0247
-4.215,14.0403
-4.214,14.0558
-4.213,14.0714
-4.212,14.0869
-4.211,14.1024
-4.21,14.1179
-4.209,14.1334
-4.208,14.1489
-4.207,14.1643
-4.206,14.1798
-4.205,14.1952
-4.204,14.2106
-4.203,14.226
-4.202,14.2413
-4.201,14.2567
-4.2,14.272
-4.199,14.2873
-4.198,14.3026
-4.197,14.3179
-4.196,14.3331
-4.195,14.3484
-4.194,14.3636
-4.193,14.3788
-4.192,14.394
-4.191,14.4092
-4.19,14.4243
-4.189,14.4395
-4.188,14.4546
-4.187,14.4697
-4.186,14.4848
-4.185,14.4999
-4.184,14.5149
-4.183,14.53
-4.182,14.545
-4.181,14.56
-4.18,14.575
-4.179,14.5899
-4.178,14.6049
-4.177,14.6198
-4.176,14.6347
-4.175,14.6496
-4.174,14.6645
-4.173,14.6794
-4.172,14.6942
-4.171,14.7091
-4.17,14.7239
-4.169,14.7387
-4.168,14.7535
-4.167,14.7682
-4.166,14.783
-4.165,14.7977
-4.164,14.8124
-4.163,14.8271
-4.162,14.8418
-4.161,14.8565
-4.16,14.8711
-4.159,14.8857
-4.158,14.9003
-4.157,14.9149
-4.156,14.9295
-4.155,14.9441
-4.154,14.9586
-4.153,14.9731
-4.152,14.9877
-4.151,15.0021
-4.15,15.0166
-4.149,15.0311
-4.148,15.0455
-4.147,15.06
-4.146,15.0744
-4.145,15.0888
-4.144,15.1031
-4.143,15.1175
-4.142,15.1318
-4.141,15.1461
-4.14,15.1605
-4.139,15.1747
-4.138,15.189
-4.137,15.2033
-4.136,15.2175
-4.135,15.2317
-4.134,15.2459
-4.133,15.2601
-4.132,15.2743
-4.131,15.2885
-4.13,15.3026
-4.129,15.3167
-4.128,15.3308
-4.127,15.3449
-4.126,15.359
-4.125,15.373
-4.124,15.3871
-4.123,15.4011
-4.122,15.4151
-4.121,15.4291
-4.12,15.4431
-4.119,15.457
-4.118,15.471
-4.117,15.4849
-4.116,15.4988
-4.115,15.5127
-4.114,15.5266
-4.113,15.5404
-4.112,15.5542
-4.111,15.5681
-4.11,15.5819
-4.109,15.5957
-4.108,15.6094
-4.107,15.6232
-4.106,15.6369
-4.105,15.6506
-4.104,15.6643
-4.103,15.678
-4.102,15.6917
-4.101,15.7054
-4.1,15.719
-4.099,15.7326
-4.098,15.7462
-4.097,15.7598
-4.096,15.7734
-4.095,15.7869
-4.094,15.8005
-4.093,15.814
-4.092,15.8275
-4.091,15.841
-4.09,15.8545
-4.089,15.8679
-4.088,15.8814
-4.087,15.8948
-4.086,15.9082
-4.085,15.9216
-4.084,15.935
-4.083,15.9483
-4.082,15.9617
-4.081,15.975
-4.08,15.9883
-4.079,16.0016
-4.078,16.0149
-4.077,16.0281
-4.076,16.0414
-4.075,16.0546
-4.074,16.0678
-4.073,16.081
-4.072,16.0942
-4.071,16.1073
-4.07,16.1205
-4.069,16.1336
-4.068,16.1467
-4.067,16.1598
-4.066,16.1729
-4.065,16.1859
-4.064,16.199
-4.063,16.212
-4.062,16.225
-4.061,16.238
-4.06,16.251
-4.059,16.2639
-4.058,16.2769
-4.057,16.2898
-4.056,16.3027
-4.055,16.3156
-4.054,16.3285
-4.053,16.3414
-4.052,16.3542
-4.051,16.3671
-4.05,16.3799
-4.049,16.3927
-4.048,16.4055
-4.047,16.4182
-4.046,16.431
-4.045,16.4437
-4.044,16.4564
-4.043,16.4691
-4.042,16.4818
-4.041,16.4945
-4.04,16.5071
-4.039,16.5198
-4.038,16.5324
-4.037,16.545
-4.036,16.5576
-4.035,16.5702
-4.034,16.5827
-4.033,16.5953
-4.032,16.6078
-4.031,16.6203
-4.03,16.6328
-4.029,16.6452
-4.028,16.6577
-4.027,16.6701
-4.026,16.6826
-4.025,16.695
-4.024,16.7074
-4.023,16.7198
-4.022,16.7321
-4.021,16.7445
-4.02,16.7568
-4.019,16.7691
-4.018,16.7814
-4.017,16.7937
-4.016,16.8059
-4.015,16.8182
-4.014,16.8304
-4.013,16.8426
-4.012,16.8548
-4.011,16.867
-4.01,16.8792
-4.009,16.8914
-4.008,16.9035
-4.007,16.9156
-4.006,16.9277
-4.005,16.9398
-4.004,16.9519
-4.003,16.9639
-4.002,16.976
-4.001,16.988
-4,17
-3.999,17.012
-3.998,17.024
-3.997,17.0359
-3.996,17.0479
-3.995,17.0598
-3.994,17.0717
-3.993,17.0836
-3.992,17.0955
-3.991,17.1074
-3.99,17.1192
-3.989,17.131
-3.988,17.1428
-3.987,17.1547
-3.986,17.1664
-3.985,17.1782
-3.984,17.19
-3.983,17.2017
-3.982,17.2134
-3.981,17.2251
-3.98,17.2368
-3.979,17.2485
-3.978,17.2601
-3.977,17.2718
-3.976,17.2834
-3.975,17.295
-3.974,17.3066
-3.973,17.3182
-3.972,17.3297
-3.971,17.3413
-3.97,17.3528
-3.969,17.3643
-3.968,17.3758
-3.967,17.3873
-3.966,17.3988
-3.965,17.4102
-3.964,17.4217
-3.963,17.4331
-3.962,17.4445
-3.961,17.4559
-3.96,17.4673
-3.959,17.4786
-3.958,17.49
-3.957,17.5013
-3.956,17.5126
-3.955,17.5239
-3.954,17.5352
-3.953,17.5464
-3.952,17.5577
-3.951,17.5689
-3.95,17.5801
-3.949,17.5913
-3.948,17.6025
-3.947,17.6137
-3.946,17.6248
-3.945,17.636
-3.944,17.6471
-3.943,17.6582
-3.942,17.6693
-3.941,17.6804
-3.94,17.6914
-3.939,17.7025
-3.938,17.7135
-3.937,17.7245
-3.936,17.7355
-3.935,17.7465
-3.934,17.7574
-3.933,17.7684
-3.932,17.7793
-3.931,17.7902
-3.93,17.8011
-3.929,17.812
-3.928,17.8229
-3.927,17.8338
-3.926,17.8446
-3.925,17.8554
-3.924,17.8662
-3.923,17.877
-3.922,17.8878
-3.921,17.8986
-3.92,17.9093
-3.919,17.92
-3.918,17.9308
-3.917,17.9415
-3.916,17.9521
-3.915,17.9628
-3.914,17.9735
-3.913,17.9841
-3.912,17.9947
-3.911,18.0053
-3.91,18.0159
-3.909,18.0265
-3.908,18.0371
-3.907,18.0476
-3.906,18.0581
-3.905,18.0687
-3.904,18.0792
-3.903,18.0896
-3.902,18.1001
-3.901,18.1106
-3.9,18.121
-3.899,18.1314
-3.898,18.1418
-3.897,18.1522
-3.896,18.1626
-3.895,18.173
-3.894,18.1833
-3.893,18.1936
-3.892,18.2039
-3.891,18.2142
-3.89,18.2245
-3.889,18.2348
-3.888,18.2451
-3.887,18.2553
-3.886,18.2655
-3.885,18.2757
-3.884,18.2859
-3.883,18.2961
-3.882,18.3063
-3.881,18.3164
-3.88,18.3265
-3.879,18.3366
-3.878,18.3467
-3.877,18.3568
-3.876,18.3669
-3.875,18.377
-3.874,18.387
-3.873,18.397
-3.872,18.407
-3.871,18.417
-3.87,18.427
-3.869,18.437
-3.868,18.4469
-3.867,18.4568
-3.866,18.4668
-3.865,18.4767
-3.864,18.4865
-3.863,18.4964
-3.862,18.5063
-3.861,18.5161
-3.86,18.5259
-3.859,18.5358
-3.858,18.5456
-3.857,18.5553
-3.856,18.5651
-3.855,18.5748
-3.854,18.5846
-3.853,18.5943
-3.852,18.604
-3.851,18.6137
-3.85,18.6234
-3.849,18.633
-3.848,18.6427
-3.847,18.6523
-3.846,18.6619
-3.845,18.6715
-3.844,18.6811
-3.843,18.6907
-3.842,18.7002
-3.841,18.7098
-3.84,18.7193
-3.839,18.7288
-3.838,18.7383
-3.837,18.7478
-3.836,18.7572
-3.835,18.7667
-3.834,18.7761
-3.833,18.7855
-3.832,18.7949
-3.831,18.8043
-3.83,18.8137
-3.829,18.8231
-3.828,18.8324
-3.827,18.8417
-3.826,18.8511
-3.825,18.8604
-3.824,18.8696
-3.823,18.8789
-3.822,18.8882
-3.821,18.8974
-3.82,18.9066
-3.819,18.9158
-3.818,18.925
-3.817,18.9342
-3.816,18.9434
-3.815,18.9525
-3.814,18.9617
-3.813,18.9708
-3.812,18.9799
-3.811,18.989
-3.81,18.9981
-3.809,19.0071
-3.808,19.0162
-3.807,19.0252
-3.806,19.0342
-3.805,19.0432
-3.804,19.0522
-3.803,19.0612
-3.802,19.0701
-3.801,19.0791
-3.8,19.088
-3.799,19.0969
-3.798,19.1058
-3.797,19.1147
-3.796,19.1236
-3.795,19.1324
-3.794,19.1413
-3.793,19.1501
-3.792,19.1589
-3.791,19.1677
-3.79,19.1765
-3.789,19.1852
-3.788,19.194
-3.787,19.2027
-3.786,19.2114
-3.785,19.2201
-3.784,19.2288
-3.783,19.2375
-3.782,19.2462
-3.781,19.2548
-3.78,19.2634
-3.779,19.2721
-3.778,19.2807
-3.777,19.2893
-3.776,19.2978
-3.775,19.3064
-3.774,19.3149
-3.773,19.3235
-3.772,19.332
-3.771,19.3405
-3.77,19.349
-3.769,19.3574
-3.768,19.3659
-3.767,19.3743
-3.766,19.3828
-3.765,19.3912
-3.764,19.3996
-3.763,19.408
-3.762,19.4163
-3.761,19.4247
-3.76,19.433
-3.759,19.4413
-3.758,19.4497
-3.757,19.458
-3.756,19.4662
-3.755,19.4745
-3.754,19.4828
-3.753,19.491
-3.752,19.4992
-3.751,19.5074
-3.75,19.5156
-3.749,19.5238
-3.748,19.532
-3.747,19.5401
-3.746,19.5483
-3.745,19.5564
-3.744,19.5645
-3.743,19.5726
-3.742,19.5807
-3.741,19.5887
-3.74,19.5968
-3.739,19.6048
-3.738,19.6128
-3.737,19.6208
-3.736,19.6288
-3.735,19.6368
-3.734,19.6448
-3.733,19.6527
-3.732,19.6607
-3.731,19.6686
-3.73,19.6765
-3.729,19.6844
-3.728,19.6923
-3.727,19.7001
-3.726,19.708
-3.725,19.7158
-3.724,19.7236
-3.723,19.7314
-3.722,19.7392
-3.721,19.747
-3.72,19.7548
-3.719,19.7625
-3.718,19.7702
-3.717,19.778
-3.716,19.7857
-3.715,19.7933
-3.714,19.801
-3.713,19.8087
-3.712,19.8163
-3.711,19.824
-3.71,19.8316
-3.709,19.8392
-3.708,19.8468
-3.707,19.8544
-3.706,19.8619
-3.705,19.8695
-3.704,19.877
-3.703,19.8845
-3.702,19.892
-3.701,19.8995
-3.7,19.907
-3.699,19.9145
-3.698,19.9219
-3.697,19.9293
-3.696,19.9368
-3.695,19.9442
-3.694,19.9516
-3.693,19.9589
-3.692,19.9663
-3.691,19.9737
-3.69,19.981
-3.689,19.9883
-3.688,19.9956
-3.687,20.0029
-3.686,20.0102
-3.685,20.0175
-3.684,20.0247
-3.683,20.0319
-3.682,20.0392
-3.681,20.0464
-3.68,20.0536
-3.679,20.0607
-3.678,20.0679
-3.677,20.0751
-3.676,20.0822
-3.675,20.0893
-3.674,20.0964
-3.673,20.1035
-3.672,20.1106
-3.671,20.1177
-3.67,20.1247
-3.669,20.1318
-3.668,20.1388
-3.667,20.1458
-3.666,20.1528
-3.665,20.1598
-3.664,20.1668
-3.663,20.1737
-3.662,20.1807
-3.661,20.1876
-3.66,20.1945
-3.659,20.2014
-3.658,20.2083
-3.657,20.2152
-3.656,20.222
-3.655,20.2289
-3.654,20.2357
-3.653,20.2425
-3.652,20.2493
-3.651,20.2561
-3.65,20.2629
-3.649,20.2696
-3.648,20.2764
-3.647,20.2831
-3.646,20.2898
-3.645,20.2965
-3.644,20.3032
-3.643,20.3099
-3.642,20.3166
-3.641,20.3232
-3.64,20.3299
-3.639,20.3365
-3.638,20.3431
-3.637,20.3497
-3.636,20.3563
-3.635,20.3628
-3.634,20.3694
-3.633,20.3759
-3.632,20.3824
-3.631,20.389
-3.63,20.3955
-3.629,20.4019
-3.628,20.4084
-3.627,20.4149
-3.626,20.4213
-3.625,20.4277
-3.624,20.4341
-3.623,20.4406
-3.622,20.4469
-3.621,20.4533
-3.62,20.4597
-3.619,20.466
-3.618,20.4724
-3.617,20.4787
-3.616,20.485
-3.615,20.4913
-3.614,20.4975
-3.613,20.5038
-3.612,20.5101
-3.611,20.5163
-3.61,20.5225
-3.609,20.5287
-3.608,20.5349
-3.607,20.5411
-3.606,20.5473
-3.605,20.5534
